,code,name,mbrg,nprg,nav,targ,epsg,seg
0,000971,高升控股,323.1068,4183.840999999999,115.6708,114.5887,2400.0,115.5367
1,300131,英唐智控,138.3465,462.55300000000005,11.9428,43.8918,137.5,10.3257
2,300264,佳创视讯,59.0082,363.4508,1.064,35.1867,0.0,2.22
3,600167,联美控股,169.8135,305.3135,115.0066,100.8712,22.7718,112.8527
4,300121,阳谷华泰,44.1687,298.7958,30.8099,13.7537,300.0,30.8099
5,300401,花园生物,117.6243,262.5166,5.7655,11.335999999999999,242.8571,5.7655
6,300613,富瀚微,77.1372,198.0026,74.8009,61.9535,200.0,78.5373
7,000040,东旭蓝天,126.5375,182.6017,727.1056,155.4026,46.1538,726.9646
8,002349,精华制药,12.9628,111.9446,3.0802,0.9740000000000001,31.6019,5.5491
9,000488,晨鸣纸业,13.1668,106.8249,30.7431,5.5459,98.0,31.6944
10,300409,道氏技术,45.1783,106.71,106.0029,70.8999,-9.6154,100.9351
11,002768,国恩股份,71.0268,81.2276,23.0725,64.2923,-46.6019,16.1098
12,600816,安信信托,,76.1722,117.4408,108.8197,63.5375,117.4408
13,600879,航天电子,105.8689,71.8321,55.2194,83.1343,52.9412,56.8081
14,600829,人民同泰,1.0803,69.3868,15.7743,13.645999999999999,61.6027,15.7743
15,300304,云意电气,24.1271,56.9918,56.3532,63.2043,45.7143,61.1648
16,000667,美好置业,11.2373,55.2288,9.8062,3.0988,55.2899,10.221
17,000565,渝三峡A,263.5915,54.5795,26.345,25.6263,57.5758,26.345
18,002258,利尔化学,33.1234,54.4138,47.9947,21.8941,-41.5119,56.4654
19,300363,博腾股份,29.9082,53.7818,16.1533,20.6795,51.8519,14.6548
20,601677,明泰铝业,19.0616,49.3481,7.5195,6.7943,40.4762,7.4496
21,600318,新力金融,-14.1113,48.8216,11.6571,-15.4672,116.12899999999999,11.9559
22,002849,威星智能,44.6638,47.1486,18.8872,14.6148,45.4545,18.8872
23,300385,雪浪环境,20.1511,47.1094,12.1473,15.0551,56.8428,10.9509
24,603579,荣泰健康,25.4958,45.3725,46.1595,60.7861,44.8529,45.7609
25,000980,金马股份,4.1599,43.9291,3.6697,20.665,45.4545,3.6673
26,002135,东南网架,10.4392,43.8327,2.0228,-4.7078,20.0,1.8466
27,300046,台基股份,45.7029,34.1296,0.3832,26.2998,34.1078,0.3832
28,600173,卧龙地产,-8.3028,33.8505,2.7436,-6.5165,33.6134,2.7286
29,000838,财信发展,156.9466,33.5325,5.4628,1.5917,-74.163,6.1375
30,002479,富春环保,-6.1724,32.2192,2.4211,3.2528,29.6529,4.588
31,601155,新城控股,18.6708,31.5191,17.9968,52.1643,-9.9338,22.4423
32,600794,保税科技,31.7952,30.9045,9.1333,12.9894,0.0,6.5068
33,300609,汇纳科技,28.1145,30.699,23.3048,24.5611,28.0,23.3048
34,300286,安科瑞,7.2246,29.9706,9.7433,13.2307,23.913,10.5257
35,300568,星源材质,18.9709,29.566999999999997,139.7595,98.2585,28.2443,133.1969
36,603025,大豪科技,10.9071,28.8593,4.1653,4.7629,23.2558,4.2113
37,300033,同花顺,20.2304,26.5721,38.8317,14.6423,26.4045,38.8317
38,300606,金太阳,6.9756,23.8694,19.8695,12.7194,23.6603,19.8695
39,002846,英联股份,15.4214,22.7555,17.1753,25.3175,24.0,17.1753
40,300487,蓝晓科技,12.5376,21.32,6.1941,10.335,5.4795,6.1941
41,600660,福耀玻璃,22.4544,20.5261,9.8902,20.296,13.6364,9.9033
42,603009,北特科技,13.2868,18.5551,142.2794,60.4526,7.5116,145.252
43,600151,航天机电,34.8348,18.4221,49.4773,27.7077,9.4135,47.6253
44,300510,金冠电气,44.3855,18.3218,90.2749,70.9958,-55.8442,91.633
45,603716,塞力斯,18.4398,14.3717,82.711,64.7122,6.2112,83.1138
46,300416,苏试试验,25.9806,13.9519,11.9851,24.6211,-45.5696,9.3176
47,002014,永新股份,6.7452,13.8499,7.5421,9.5588,9.0909,7.4926
48,300184,力源信息,56.0924,13.2748,89.6726,73.3466,20.4142,89.6726
49,601965,中国汽研,37.6511,12.1854,5.577000000000001,6.8043,12.5,6.5076
50,603822,嘉澳环保,-1.0972,11.8144,59.0055,30.8926,-9.7098,55.2338
51,300561,汇金科技,28.0905,11.1148,161.9174,121.721,8.283999999999999,161.9174
52,300605,恒锋信息,6.1946,11.1058,20.1521,4.5388,10.8408,20.1508
53,600009,上海机场,10.5972,9.9686,9.2405,5.0887,10.687000000000001,9.6616
54,300446,乐凯新材,8.3015,9.3787,16.6911,15.3092,-49.7543,16.6911
55,000708,大冶特钢,3.1547,8.2427,6.4399,13.8115,8.1395,6.4399
56,300238,冠昊生物,38.2969,0.4851,131.2492,102.806,0.0,138.905
57,300411,金盾股份,2.4661,-0.593,6.3355,5.034,0.0,6.3355
58,002742,三圣股份,7.2261,-2.2158,9.9362,30.7822,-37.5,6.4897
59,300095,华伍股份,5.0054,-2.6176,51.7725,77.6022,-23.6597,54.5358
60,002245,澳洋顺昌,21.561,-4.6592,40.8947,102.0592,-15.363,16.6702
61,000545,金浦钛业,47.3607,-7.9115,7.8072,6.7775,-7.6923,7.8072
62,600168,武汉控股,-0.0475,-11.7654,4.6791,8.1371,-10.6383,4.5641
63,002107,沃华医药,20.0293,-24.9907,4.6373,5.5967,-30.0,2.6736
64,600976,健民集团,3.6135,-25.2122,3.4077,12.8406,-25.0,3.4663
65,002277,友阿股份,0.7754,-26.1041,49.9234,12.1831,-14.3404,52.3127
66,300453,三鑫医疗,1.9004,-29.4208,3.8998,5.5694,-68.4932,3.8998
67,002617,露笑科技,-21.1582,-30.5161,140.8825,77.1661,-60.8696,144.5368
68,601211,国泰君安,,-31.997,8.9682,-9.3747,-45.2489,4.8676
69,300398,飞凯材料,-9.4967,-35.6329,6.4572,14.8294,-35.6436,6.4489
70,300391,康跃科技,22.8054,-41.8308,-0.284,7.6973,0.0,0.2458
71,002663,普邦股份,11.7527,-46.1731,5.8468,19.5995,-50.0,3.4486
72,002760,凤形股份,-26.4157,-64.6136,-0.1347,2.7806,-68.4211,-0.1347
73,600785,新华百货,-4.795,-67.5944,1.9052,2.2836,-54.0984,3.3928
74,000677,恒天海龙,-76.5229,-72.33800000000001,2.5948,2.0333,-91.7981,1.6997
75,002359,齐星铁塔,42.1068,-529.0705,-5.0958,29.2956,-525.641,-5.0923
76,000608,阳光股份,-1.2423,-742.3014,-10.6214,-4.4028,-2166.6667,-14.1227
77,600227,赤天化,3.4563,-911.0576,52.9752,-0.6291,-1221.5962,62.597
78,600358,国旅联合,32.7848,-1365.6467,64.3652,24.7976,-1208.4746,63.3272
79,600749,西藏旅游,-16.9682,-3132.216,-17.1942,-28.5088,-1877.0318,-14.9863
80,300323,华灿光电,65.6183,,107.0454,63.2954,-350.0,107.0454
81,600265,ST景谷,-19.4985,,,-3.9592,-137.1429,-124.8971
82,600408,安泰集团,42.8435,,-37.5,-2.1946,-1550.0,-37.5957
83,600732,*ST新梅,81.5729,,8.4483,-15.4438,-117.52,6.8757
84,600319,亚星化学,11.1272,,,-15.4722,-107.619,-104.7253
85,600212,江泉实业,-3.866,,10.6573,10.0664,-113.0899,10.6573
86,600675,*ST中企,205.0134,,11.368,-16.903,-126.3514,19.8375
87,600701,工大高新,96.6091,,298.5703,130.6762,-428.8043,381.7315
88,600527,江南高纤,-20.266,,-4.2495,-2.5918,-250.0,-2.6802
89,002061,*ST江化,47.0304,,82.7454,86.0318,-130.0,82.7454
