,code,name,date,count,ratio
0,000100,TCL集团,2017-04-30,12455.34,1.02
1,002279,久其软件,2017-04-30,1164.77,2.15
2,002280,联络互动,2017-04-30,1379.89,0.63
3,300207,欣旺达,2017-04-30,179.75,0.14
4,300272,开能环保,2017-04-30,19.01,0.06
5,300335,迪森股份,2017-04-30,49.53,0.14
6,600498,烽火通信,2017-04-30,1369.38,1.31
7,000166,申万宏源,2017-04-29,13500.00,0.67
8,000501,鄂武商A,2017-04-29,718.64,1.21
9,002137,麦达数字,2017-04-29,59.60,0.10
10,002707,众信旅游,2017-04-29,264.99,0.31
11,300077,国民技术,2017-04-29,683.20,1.21
12,300092,科新机电,2017-04-29,413.70,1.74
13,300364,中文在线,2017-04-29,138.76,0.49
14,300451,创业软件,2017-04-29,32.04,0.15
15,300507,苏奥传感,2017-04-29,2115.20,31.73
16,000959,首钢股份,2017-04-28,232286.35,43.92
17,002407,多氟多,2017-04-28,642.00,1.02
18,002712,思美传媒,2017-04-28,537.59,1.88
19,002769,普路通,2017-04-28,7.50,0.02
20,002795,永和智控,2017-04-28,687.50,6.88
21,300224,正海磁材,2017-04-28,857.44,1.69
22,300316,晶盛机电,2017-04-28,85.93,0.09
23,603158,腾龙股份,2017-04-28,200.37,0.92
24,603822,嘉澳环保,2017-04-28,2225.00,30.33
25,002609,捷顺科技,2017-04-27,12.48,0.02
26,300179,四方达,2017-04-27,7.20,0.01
27,300287,飞利信,2017-04-27,20446.26,14.25
28,300343,联创互联,2017-04-27,8308.86,14.07
29,603029,天鹅股份,2017-04-27,1318.55,14.13
30,000690,宝新能源,2017-04-26,40434.78,18.58
31,002445,中南文化,2017-04-26,275.10,0.34
32,002721,金一文化,2017-04-26,664.46,1.03
33,300316,晶盛机电,2017-04-26,80.97,0.08
34,300363,博腾股份,2017-04-26,113.52,0.27
35,002071,长城影视,2017-04-25,19011.53,36.18
36,300449,汉邦高科,2017-04-25,83.52,0.58
37,300509,新美星,2017-04-25,720.00,9.00
38,603588,高能环境,2017-04-25,231.69,0.70
39,002335,科华恒盛,2017-04-24,3.00,0.01
40,002601,佰利联,2017-04-24,1575.21,0.78
41,002671,龙泉股份,2017-04-24,414.06,0.86
42,300315,掌趣科技,2017-04-24,10062.96,3.63
43,300434,金石东方,2017-04-24,2179.74,16.03
44,600960,渤海活塞,2017-04-24,1190.70,1.56
45,000600,建投能源,2017-04-23,70149.57,39.15
46,002546,新联电子,2017-04-22,12844.91,15.40
47,300008,天海防务,2017-04-22,1250.00,3.26
48,300051,三五互联,2017-04-22,170.20,0.46
49,300245,天玑科技,2017-04-22,282.80,1.03
50,000606,*ST易桥,2017-04-21,4405.29,5.75
51,300047,天源迪科,2017-04-21,377.67,1.05
52,300224,正海磁材,2017-04-21,57.16,0.11
53,300304,云意电气,2017-04-21,2682.93,11.83
54,300354,东华测试,2017-04-21,1.50,0.01
55,000609,绵石投资,2017-04-20,175.00,0.59
56,000961,中南建设,2017-04-20,79019.07,21.30
57,000979,中弘股份,2017-04-20,138297.87,23.08
58,300378,鼎捷软件,2017-04-20,98.02,0.37
59,300388,国祯环保,2017-04-20,2549.66,8.34
60,600089,特变电工,2017-04-20,347.80,0.11
61,600366,宁波韵升,2017-04-20,605.10,1.08
62,002380,科远股份,2017-04-19,3599.16,15.00
63,002617,露笑科技,2017-04-19,11053.73,15.04
64,300310,宜通世纪,2017-04-18,4870.62,10.97
65,300508,维宏股份,2017-04-18,471.12,8.29
66,000733,振华科技,2017-04-17,4018.33,8.56
67,002014,永新股份,2017-04-17,9279.77,27.64
68,002793,东音股份,2017-04-17,754.19,7.54
69,600520,*ST中发,2017-04-17,454.00,2.87
70,002027,分众传媒,2017-04-15,50505.05,5.78
71,002139,拓邦股份,2017-04-14,5379.65,11.86
72,002654,万润科技,2017-04-14,369.34,0.46
73,000735,罗牛山,2017-04-13,18009.87,15.64
74,600900,长江电力,2017-04-13,176000.00,8.00
75,600177,雅戈尔,2017-04-12,33156.50,12.96
76,603701,德宏股份,2017-04-12,1944.00,24.80
