,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.076,26.37,26.37,26.53,26.1,26.35,1510031,1.31079,39721656,47.089,4.683,759456.0,303782.4
1,603998,方盛制药,-1.154,16.28,16.4,16.55,16.01,16.47,2340006,0.8693200000000001,37944145,25.438,7.712,704934.94016,438220.51416
2,603997,继峰股份,-0.229,26.12,26.1,26.28,25.95,26.18,5426170,4.7598,141588611,59.364,7.536,1097040.0,297768.0
3,603996,中新科技,1.253,20.21,19.9,20.21,19.71,19.96,1981821,1.91897,39759896,51.821,4.347,606603.15,208718.775
4,603993,洛阳钼业,0.204,4.92,4.87,5.03,4.8,4.91,105176851,0.8119400000000001,516083891,82.0,0.887,8308501.759908,6373235.503908
5,603991,至正股份,0.873,49.68,49.07,50.27,47.54,49.25,2460295,13.15666,120125799,74.149,11.265,370289.870064,92901.6
6,603990,麦迪科技,0.89,47.63,47.38,47.79,46.41,47.21,1017232,5.08616,47971669,63.507,9.647,381040.0,95260.0
7,603989,艾华集团,-2.783,35.98,36.78,37.08,35.11,37.01,2339239,2.77243,84011376,41.356,6.283,1079400.0,303581.25
8,603988,中电电机,-0.889,69.14,69.0,69.62,67.0,69.76,423000,1.8883900000000002,29080227,230.467,8.562,553120.0,154873.6
9,603987,康德莱,2.208,27.31,26.71,27.39,26.65,26.72,1894020,3.6008,51062222,45.517,6.487,574301.99,143650.6
10,603986,兆易创新,0.0,204.06,0.0,0.0,0.0,204.06,0,0.0,0,96.387,15.96,2040600.0,510150.0
11,603979,金诚信,0.825,19.56,19.41,19.78,19.18,19.4,3519616,1.9561600000000001,68350347,31.048,2.406,880200.0,351932.9088
12,603977,国泰集团,-0.827,26.39,26.08,26.42,25.72,26.61,2990982,5.4106,77924633,44.729,5.896,583430.12,145883.92
13,603969,银龙股份,10.004,25.51,25.51,25.51,24.12,23.19,23006433,15.07329,585043334,70.861,6.4030000000000005,1020400.0,389360.4055
14,603968,醋化股份,0.933,23.8,23.58,24.0,23.51,23.58,1477307,1.08148,35131897,33.056,3.8529999999999998,486662.4,325108.0
15,603966,法兰泰克,1.621,31.34,29.99,31.49,29.8,30.84,5495503,13.73876,168848427,69.644,7.607,501440.0,125360.0
16,603960,克来机电,1.538,48.86,46.55,49.19,45.7,48.12,3528683,17.64342,167596139,81.433,12.528,390880.0,97720.0
17,603959,百利科技,0.957,25.31,25.02,25.42,25.0,25.07,1006128,1.7966600000000001,25284106,47.755,6.477,566944.0,141736.0
18,603958,哈森股份,-2.713,29.76,30.57,30.57,28.28,30.59,2352656,4.32809,69587197,40.711,5.646,646863.36,161768.949696
19,603955,大千生态,1.454,57.9,55.1,58.33,55.09,57.07,2489207,11.44463,141058887,54.234,5.499,503730.0,125932.5
20,603939,益丰药房,0.142,28.2,28.11,28.35,27.99,28.16,533435,0.34193,15042881,49.129,3.531,1022798.93556,439942.56
21,603936,博敏电子,0.53,28.45,28.02,28.47,28.02,28.3,696095,1.24081,19667994,58.539,5.175,476110.75,159604.5
22,603929,亚翔集成,2.81,29.27,28.7,29.46,28.6,28.47,3073664,5.76024,89190281,28.417,7.032,624504.72,156184.72
23,603928,兴业股份,-3.112,26.15,26.8,27.2,24.5,26.99,4217520,8.3681,110528155,36.319,7.011,527184.0,131796.0
24,603919,金徽酒,0.935,27.0,26.7,27.26,26.65,26.75,1076570,1.20818,28989012,34.177,4.784,756000.0,240587.55
25,603918,金桥信息,-3.444,30.0,30.74,31.3,29.64,31.07,1666778,1.35132,50345522,63.83,11.559,528000.0,370032.0
26,603909,合诚股份,-0.469,46.66,46.95,47.37,45.01,46.88,1031034,4.12414,47882648,70.579,8.092,466600.0,116650.0
27,603908,牧高笛,2.207,58.36,56.2,58.8,56.0,57.1,1715451,10.27832,98121828,61.432,15.041,389202.84,97402.84
28,603906,龙蟠科技,9.993,15.08,15.08,15.08,15.08,13.71,3500,0.006730000000000001,52780,26.456,3.643,313664.0,78416.0
29,603903,中持股份,10.008,72.99,72.99,72.99,70.03,66.35,4753878,18.56295,346532512,119.656,12.941,747694.962,186923.7405
30,603901,永创智能,0.217,13.87,13.8,14.07,13.75,13.84,1728246,1.1222400000000001,23994724,63.045,6.194,554800.0,213598.0
31,603900,通灵珠宝,1.777,32.65,31.88,32.75,31.82,32.08,2176614,3.58002,70490742,27.669,3.922,794033.634,198508.4085
32,603899,晨光文具,-0.679,17.56,17.67,17.67,17.52,17.68,1262982,0.56383,22199627,32.773,6.648,1615520.0,393344.0
33,603898,好莱客,-0.583,35.82,36.15,36.4,35.53,36.03,733200,0.8405,26245790,41.651,9.271,1074241.8,312472.188
34,603889,新澳股份,-0.243,16.4,16.44,16.55,16.23,16.44,2898587,2.0421,47466567,32.8,4.492,533262.4,232783.486
35,603888,新华网,0.0,91.99,0.0,0.0,0.0,91.99,0,0.0,0,54.756,12.249,1909820.433056,477455.108264
36,603887,城地股份,1.266,43.2,42.71,43.43,42.24,42.66,533107,2.1671,22874209,62.609,6.206,423792.0,106272.0
37,603886,元祖股份,2.35,27.0,26.18,27.09,26.02,26.38,4057964,6.76363,108026674,42.188,9.415,648000.0,161991.4815
38,603885,吉祥航空,-0.68,23.36,24.06,24.06,23.14,23.52,1640899,0.76321,38488286,24.082,3.925,2998445.34448,502240.0
39,603883,老百姓,-0.604,42.8,43.06,43.12,42.61,43.06,503459,0.59848,21550073,38.559,6.176,1142760.0,360047.47148
40,603881,数据港,5.272,55.51,52.0,57.6,51.4,52.73,11211383,21.29417,604490934,120.674,22.239,1168965.705908,292260.15
41,603878,武进不锈,1.651,29.55,29.16,29.66,28.65,29.07,3054183,6.04789,89043072,32.833,3.7119999999999997,596910.0,149227.5
42,603877,太平鸟,1.228,34.62,34.14,34.82,34.0,34.2,3154437,5.73534,108510316,27.047,8.051,1644450.0,190410.0
43,603869,北部湾旅,-2.035,33.22,34.21,34.21,32.68,33.91,2447211,3.35819,81091749,48.853,3.263,1158734.422296,242083.70736
44,603868,飞科电器,-0.797,48.55,48.85,49.58,47.74,48.94,1803663,4.13684,88213051,33.253,10.519,2114838.0,211678.0
45,603866,桃李面包,0.513,43.08,42.85,43.58,42.85,42.86,623125,1.05298,26953318,44.412,9.426,1939142.808,254935.98072
46,603861,白云电器,-1.844,27.68,28.8,29.2,26.05,28.2,10402512,8.59106,288283277,57.884,6.266,1132388.8,335164.143616
47,603859,能科股份,-0.554,82.62,82.8,82.89,82.01,83.08,480099,1.69108,39652642,175.228,14.489,938232.72,234558.18
48,603858,步长制药,0.986,86.06,85.0,86.24,84.93,85.22,1414217,2.0261,120811556,30.05,4.655,5867570.8,600698.8
49,603843,正平股份,-0.443,17.99,18.05,18.38,17.51,18.07,4111237,4.12361,73652665,62.034,6.009,719605.397,179360.3
50,603839,安正时尚,2.023,34.8,33.55,34.98,33.54,34.11,4181813,5.86839,144052312,31.636,5.8,991939.2,247984.8
51,603838,四通股份,0.805,18.79,18.87,18.87,18.3,18.64,4452371,4.57686,82523351,85.409,7.522,501091.72,182789.12
52,603833,欧派家居,-3.905,110.5,111.2,114.2,106.0,114.99,6079247,14.64526,667587488,43.504,14.332,4586756.7876,458685.5
53,603828,柯利达,2.241,25.55,24.89,25.61,24.7,24.99,1441731,2.62369,36285678,54.362,4.661,471428.16,140398.417635
